s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9946.04,Supplier#000055744,ROMANIA,6955692,Manufacturer#4,dRRSaDvg ib vCKOvhiHl,29-434-996-8849,are platelets. pending depo
9945.78,Supplier#000089047,UNITED KINGDOM,5289046,Manufacturer#5,"rqoOqRo,fG2vifP6Ji,qKt5dzhz0m1P4GFVLDXl",33-294-204-9139,"l dependencies about the carefully ironic accounts are around the idle, unusual requests. pinto be"
9945.39,Supplier#000289168,RUSSIA,3389159,Manufacturer#5,"Qj1PkIFX3E4tKLbhqSYHk,hyF",32-623-177-6740,"unusual, final accounts haggle slyl"
9945.36,Supplier#000036819,ROMANIA,2936797,Manufacturer#5,NJfzlpQ4TqMDtYWAjXM9kFSjqTs7ZnIwHmUvT,29-370-897-9499,al accounts. carefully ruthless requests haggle blithely express depos
9944.71,Supplier#000139915,ROMANIA,6439898,Manufacturer#3,wnKD9Z 2KE7DUd0r3io2KAXHRh3nrl2ep,29-854-754-6471,carefully express platelets. quickly ironic dolphins at the
9943.66,Supplier#000290625,FRANCE,1490624,Manufacturer#3,lF0H uQDxxunJF8uihRb,16-124-719-2124,"ic, special realms. quietly silent accounts against the blithely"
9942.9,Supplier#000019177,GERMANY,6919125,Manufacturer#2,TUINeTTQPDi7DOcYue,17-316-670-1231,s wake furiously according to the depths. slyly express
9942.35,Supplier#000018266,UNITED KINGDOM,7818227,Manufacturer#2,kR51lIyRBhgThYMEh8yjMafGCFkhsbMQ59IbLEsJ,33-209-721-5199,"g, ironic deposits are slyly be"
9941.59,Supplier#000048871,RUSSIA,3848852,Manufacturer#5,Smsew21PTLWhTznH6CgfQDb,32-429-129-9835,"ld packages. blithely regular platelets integrate furiously. ironic, regular foxes are c"
9941.59,Supplier#000048871,RUSSIA,7348816,Manufacturer#3,Smsew21PTLWhTznH6CgfQDb,32-429-129-9835,"ld packages. blithely regular platelets integrate furiously. ironic, regular foxes are c"
9940.26,Supplier#000364218,GERMANY,6064172,Manufacturer#4,Ag4QRserMEaFE NzcYSRCDECw,17-866-599-8855,beans sleep evenly. instructi
9939.4,Supplier#000028113,RUSSIA,428112,Manufacturer#2,HrnOoqKBep02Dvafwz9SHIzaJWlL,32-938-722-6528,"ideas. ruthlessly ironic accounts should are slyly special, regular pla"
9938.85,Supplier#000025204,UNITED KINGDOM,2225193,Manufacturer#4,Oxbl2 pm68gah,33-132-569-1851,furiously regular packages na
9938.53,Supplier#000005359,UNITED KINGDOM,1205358,Manufacturer#1,"QKuHYh,vZGiwu2FWEJoLDx04",33-429-790-6131,uriously regular requests hag
9937.66,Supplier#000127217,RUSSIA,1927208,Manufacturer#3,1FLHFW0Etg,32-398-449-7036,y final foxes haggle furiously blithe
9936.77,Supplier#000060040,RUSSIA,1560036,Manufacturer#2,"zX5c,o6tI0v3MPwEZ6Z",32-722-799-2240,"ar, bold deposits play carefully among the furiously final requ"
9936.47,Supplier#000314864,ROMANIA,4514841,Manufacturer#1,"4SuVlOxaZLYQJZkCan,AqiysyeIeLO7",29-943-559-1758,olve quickly above the quickly regular dolphins. carefully bold ideas cajole about the
9936.02,Supplier#000379103,GERMANY,3279078,Manufacturer#1,"E5,D3amwf0jpoSCMnoC0Q27MA",17-977-922-3202,tornis. slyly busy theodolit
9936.01,Supplier#000064630,FRANCE,6164584,Manufacturer#1,cW3kNfLGiN2n7w84pIHEpTd4sewgpnW,16-782-698-5265,. furiously express ideas boost across the regular requests. furiously final ideas haggle fl
9936.01,Supplier#000064630,FRANCE,7764572,Manufacturer#3,cW3kNfLGiN2n7w84pIHEpTd4sewgpnW,16-782-698-5265,. furiously express ideas boost across the regular requests. furiously final ideas haggle fl
